1,Tokyo,Japan
2,BeijingShi,China
3,Shanghai,China
4,BuenosAires,Argentina
5,Bombay,India
6,Karachi,Pakistan
7,Constantinople,Turkey
8,Mexico,Mexico
9,NewDelhi,India
10,Manila,Philippines
11,Moscow,Russia
12,Seoul,KoreaRep.
13,SaoPaulo,Brazil
14,Istanbul,Turkey
15,Lagos,Nigeria
16,Mexico,Mexico
17,Jakarta,Indonesia
18,Edo,Japan
19,NewYork,USA
20,Kinshasa,Congo
21,Al-Cairo,Egypt
22,Lima,Peru
23,Beijing,China
24,London,Britain
25,Tehran,Iran
26,Bogotá,Colombia
27,HongKong,HongKong
28,Dhaka,Bangladesh
29,Lahore,Pakistan
30,RiodeJaneiro,Brazil
31,Baghdad,Iraq
32,Bangkok,Thailand
33,Bangalore,India
34,Santiago,Chile
35,Kolkata,India
36,Toronto,Canada
37,Dagon,Myanmar
38,Sydney,Australia
39,Madras,India
40,Abia,Nigeria
41,Wuhan,China
42,Ogun,Nigeria
43,St.Petersburg,Russia
44,Chongqing,China
45,XIan,China
46,Chengdu,China
47,Chittagong,Bangladesh
48,LosAngeles,USA
49,Alexandria,Egypt
50,Tianjin,China
51,Melbourne,Australia
52,Ahmedabad,India
53,Abidjan,CoteDivoire
54,Busan,KoreaRep.
55,Kano,Nigeria
56,Casablanca,Morocco
57,Hyderabad,India
58,Yokohama,Japan
59,Ibadan,Nigeria
60,Singapore,Singapore
61,Ankara,Turkey
62,Shenyang,China
63,Riyadh,SaudiArabia
64,HoChiMinhcity,Vietnam
65,Capetown,SouthAFR.Respub.
66,Berlin,Germany
67,Montreal,Canada
68,Harbin,China
69,Pyongyang,KoreaDPRK
70,Guangzhou,China
71,Durban,SouthAFR.Respub.
72,Madrid,Spain
73,Nanjing,China
74,Kabul,Afghanistan
75,Pune,India
76,Surat,India
77,Chicago,USA
78,Kanpur,India
79,UmmDurman,Sudan
80,Luanda,Angola
81,AddisAbaba,Ethiopia
82,Nairobi,Kenya
83,Taiyuan,China
84,Jaipur,India
85,ElSalvador,Brazil
86,Dakar,Senegal
87,DaresSalaam,Tanzania
88,Rome,Italy
89,Yunfu,China
90,ChangwatNakhonRatSIMA,Thailand
91,Al-Basra,Iraq
92,Osaka,Japan
93,Mogadishu,Somalia
94,Taegu,KoreaRep.
95,Jeddah,SaudiArabia
96,Changchun,China
97,Taipei,Taiwan
98,Kyiv,Ukraine
99,Faisalabad,Pakistan
100,Izmir,Turkey
101,Lahnau,India
102,Koniya,Turkey
103,Giza,Egypt
104,Tsira,Brazil
105,Cali,Colombia
106,Surabaya,Indonesia
107,Timber,Turkey
108,White,Brazil
109,GreaterDakar,Senegal
110,AlKuwait,Kuwait
111,Mashhad,Iran
112,Brooklyn,USA
113,Quezon,Philippines
114,Nagpur,India
115,Harare,Zimbabwe
116,Brazil,Brazil
117,SantoDomingo,Dominicans.Resp.
118,Nagoya,Japan
119,Havana,Cuba
120,Kosovo,Serbia
121,Aleppo,Syria
122,Paris,France
123,Changsha,China
124,Jinan,China
125,AlMawsil,Iraq
126,Tangshan,China
127,Dalian,China
128,Houston,USA
129,Johannesburg,SouthAFR.Respub.
130,Kowloon,HongKong
131,Al-Basraal-Kadima,Iraq
132,Zhengzhou,China
133,Cheng,China
134,Medellin,Colombia
135,Algeria,Algeria
136,Tashkent,Uzbekistan
137,AlGar,Algeria
138,Khartoum,Sudan
139,Accra,Ghana
140,Guyaquil,Ecuador
141,Maracaibo,Venezuela
142,Rabat,Morocco
143,Sapporo,Japan
144,Jilin,China
145,Hangzhou,China
146,Bucharest,Romania
147,Nanchang,China
148,Kamine,Guinea
149,Brisbane,Australia
150,Vancouver,Canada
151,Indore,India
152,Caracas,Venezuela
153,Ecatepec,Mexico
154,Sana,Yemen
155,ChiangMai,Thailand
156,Medan,Indonesia
157,Rawalpindi,Pakistan
158,Minsk,Belarus
159,Mosul,Iraq
160,Hamburg,Germany
161,Curitiba,Brazil
162,Budapest,Hungary
163,Bandung,Indonesia
164,Soweto,SouthAFR.Respub.
165,Edessa,Turkey
166,Warsaw,Poland
167,Qingdao,China
168,Guadalajara,Mexico
169,Pretoria,SouthAFR.Respub.
170,Alep,Syria
171,Patna,India
172,Bhopal,India
173,NewPatna,India
174,Manaus,Brazil
175,Xinyang,China
176,Kaduna,Nigeria
177,Damascus,Syria
178,PhnomPenh,Cambodia
179,Barcelona,Spain
180,Al-Sham,Syria
181,Vianne,Austria
182,Isfahan,Iran
183,Ludhiana,India
184,CagnatHkonSiThammarat,Thailand
185,Kobe,Japan
186,Bekasi,Indonesia
187,Kaohsiung,Taiwan
188,Kaohsiung,Taiwan
189,CiudadJuarez,Mexico
190,Urumqi,China
191,ChiangRai,Thailand
192,Surin,Thailand
193,Tana,India
194,Ecife,Brazil
195,Tai,KoreaRep.
196,Daejeon,KoreaRep.
197,Kampot,Ghana
198,Kyoto,Japan
199,DollLumpur,Malaysia
200,Philadelphia,USA
201,Karaj,Iran
202,Perth,Australia
203,Cordova,Argentina
204,Multan,Pakistan
205,Hanoi,Vietnam
206,Kharkov,Ukraine
207,Agra,India
208,Phoenix,HongKong
209,Tabriz,Iran
210,Novosibirsk,Russia
211,Lanzhou,China
212,Gwangju,KoreaRep.
213,Bursa,Turkey
214,ChangwatROI,Thailand
215,Vadodara,India
216,Belem,Brazil
217,Juarez,Mexico
218,Fushun,China
219,Quito,Ecuador
220,Fukuoka,Japan
221,Puebla,Mexico
222,Antananarivo,Madagascar
223,Luoyang,China
224,Hefei,China
225,Hyderabad,Pakistan
226,Valencia,Venezuela
227,Gujranwala,Pakistan
228,Barranquilla,Colombia
229,Tijuana,Mexico
230,Lubumbashi,Congo
